deal_id,company_name,deal_stage,deal_value,created_date,expected_close_date,sales_rep,industry,lead_source,win_probability
DEAL-001,Prism Analytics,Qualification,125723,2024-11-21,2025-01-15,Marcus Johnson,Healthcare,Inbound,39
DEAL-002,Falcon Dynamics,Closed Won,372257,2024-11-02,2025-02-15,Elena Rodriguez,Technology,Partner,100
DEAL-003,Sapphire Systems,Negotiation,313494,2024-12-02,2025-01-03,Marcus Johnson,Finance,Event,83
DEAL-004,Ember Creative,Qualification,98848,2024-12-27,2025-01-30,Elena Rodriguez,Finance,Inbound,34
DEAL-005,Maple Solutions,Closed Lost,51033,2024-12-31,2025-03-15,James O'Brien,Finance,Event,0
DEAL-006,Acme Corp,Closed Won,227930,2024-10-06,2024-12-20,Marcus Johnson,Finance,Partner,100
DEAL-007,Vortex Media,Closed Won,322461,2024-10-11,2025-02-13,James O'Brien,Technology,Referral,100
DEAL-008,DataForge,Closed Lost,396909,2024-10-17,2024-12-18,James O'Brien,Retail,Outbound,0
DEAL-009,CloudBridge IO,Qualification,17217,2024-12-04,2025-03-05,Marcus Johnson,Manufacturing,Event,21
DEAL-010,Silverline Partners,Closed Lost,79926,2024-10-11,2025-02-03,Priya Patel,Retail,Inbound,0
DEAL-011,ClearView Systems,Qualification,110274,2024-11-18,2025-01-06,Sarah Chen,Education,Outbound,36
DEAL-012,ClearView Systems,Closed Won,437607,2024-11-26,2025-01-04,Marcus Johnson,Finance,Event,100
DEAL-013,Harbor Systems,Closed Lost,319398,2024-10-08,2024-11-17,David Kim,Healthcare,Partner,0
DEAL-014,Zenith Labs,Prospecting,160175,2024-11-22,2024-12-14,Marcus Johnson,Healthcare,Event,13
DEAL-015,Nebula AI,Closed Won,408999,2024-10-19,2024-12-18,James O'Brien,Healthcare,Referral,100
DEAL-016,Quantum Dynamics,Qualification,267790,2024-10-16,2025-01-23,Priya Patel,Technology,Partner,41
DEAL-017,ClearView Systems,Qualification,181556,2024-10-07,2025-01-08,James O'Brien,Manufacturing,Event,32
DEAL-018,Pinnacle Systems,Qualification,488936,2024-11-17,2024-12-17,Priya Patel,Education,Event,48
DEAL-019,Crestwood Partners,Proposal,123513,2024-11-26,2025-01-01,David Kim,Education,Referral,67
DEAL-020,Harbor Systems,Qualification,358525,2024-10-14,2025-01-09,David Kim,Healthcare,Event,44
DEAL-021,Aether Biotech,Prospecting,480873,2024-11-07,2025-03-06,Priya Patel,Technology,Partner,24
DEAL-022,Meridian Group,Negotiation,492499,2024-11-07,2025-02-04,Priya Patel,Manufacturing,Referral,77
DEAL-023,DataForge,Closed Won,153001,2024-11-22,2025-02-21,James O'Brien,Education,Partner,100
DEAL-024,Keystone Manufacturing,Closed Lost,106959,2024-12-19,2025-03-21,James O'Brien,Finance,Outbound,0
DEAL-025,Forge Financial,Closed Lost,369032,2024-11-14,2024-11-22,Priya Patel,Healthcare,Outbound,0
DEAL-026,Aether Biotech,Closed Lost,394554,2024-12-21,2025-01-30,David Kim,Healthcare,Event,0
DEAL-027,Titan Healthcare,Prospecting,283789,2024-11-14,2025-03-03,Marcus Johnson,Technology,Partner,13
DEAL-028,Keystone Manufacturing,Closed Won,494208,2024-11-09,2024-12-28,Marcus Johnson,Finance,Event,100
DEAL-029,Beacon Analytics,Closed Won,329955,2024-11-29,2025-02-15,David Kim,Retail,Referral,100
DEAL-030,Quantum Dynamics,Prospecting,309354,2024-10-26,2024-11-07,Sarah Chen,Technology,Event,19
DEAL-031,Beacon Analytics,Closed Won,377724,2024-11-08,2025-02-17,Elena Rodriguez,Retail,Referral,100
DEAL-032,Prism Analytics,Negotiation,143832,2024-10-25,2024-11-26,James O'Brien,Finance,Outbound,72
DEAL-033,Granite Tech,Closed Lost,208959,2024-10-17,2025-02-15,James O'Brien,Retail,Outbound,0
DEAL-034,Vertex Cloud,Qualification,305240,2024-11-16,2025-01-26,David Kim,Manufacturing,Outbound,28
DEAL-035,Phoenix Robotics,Closed Lost,353657,2024-12-01,2025-02-19,Marcus Johnson,Technology,Partner,0
DEAL-036,Acme Corp,Closed Won,65223,2024-10-31,2025-03-04,Priya Patel,Manufacturing,Inbound,100
DEAL-037,Falcon Dynamics,Closed Won,284451,2024-11-12,2024-11-20,Priya Patel,Education,Inbound,100
DEAL-038,DataForge,Negotiation,76383,2024-12-14,2025-01-30,Elena Rodriguez,Technology,Event,68
DEAL-039,IronClad Security,Proposal,296119,2024-10-05,2024-10-24,Priya Patel,Healthcare,Event,56
DEAL-040,Vortex Media,Qualification,66429,2024-10-08,2025-01-29,James O'Brien,Healthcare,Referral,45
DEAL-041,Vortex Media,Prospecting,411632,2024-11-05,2025-02-13,Elena Rodriguez,Healthcare,Referral,27
DEAL-042,Ivory Consulting,Prospecting,70902,2024-12-23,2025-03-08,Marcus Johnson,Healthcare,Partner,13
DEAL-043,Crestwood Partners,Closed Won,203833,2024-10-12,2024-10-27,Marcus Johnson,Finance,Outbound,100
DEAL-044,DataForge,Closed Won,183306,2024-12-18,2025-03-12,Sarah Chen,Finance,Event,100
DEAL-045,CloudBridge IO,Qualification,81842,2024-10-25,2025-01-18,James O'Brien,Education,Partner,43
DEAL-046,Apex Digital,Negotiation,415393,2024-10-02,2024-12-07,Marcus Johnson,Retail,Event,81
DEAL-047,DataForge,Qualification,410822,2024-12-17,2025-01-03,James O'Brien,Finance,Referral,48
DEAL-048,ClearView Systems,Closed Won,15685,2024-11-10,2024-11-28,Priya Patel,Healthcare,Outbound,100
